"Oh My God","Employment","Kaiser Chiefs","214000","5","20","","20"
"Okey Dog","Have a Nice Life","MURS","198000","5","30","","241"
"Omega","Z","SZA","263000","5","15","","278"
"One Foot in the Grave (feat. Bernz)","A Soiree for Skeptics","Wrekonize","213000","5","22","","192"
"One Man Army","Trail of Destruction: A Chronicle of Epic Disses","The Jokerr","269000","5","22","","72"
"One Of Us","Manhattan","Skaters","144000","5","35","","297"
"One Too Many","Breaking The Model","New Medicine","203000","5","12","","151"
"Otto","Loners Are Cool","Allday","186000","5","20","","128"
"Overdose","Too","FIDLAR","228000","5","83","","288"
"Pans in the Kitchen","Gazing at the Moonlight","Hopsin","251000","5","8","","66"
"Paradise (Extended)","Dark Sky Paradise (Deluxe)","Big Sean","215000","5","14","","230"
"Parallels","The Parallels Amongst Ourselves","Sugar Army","177000","5","38","","237"
"Parlez-Vous Francais?","Art vs. Science","Art vs. Science","213000","5","24","","236"
"Parole (Remix) (feat. DJ Green Lantern)","The 3rd World","Immortal Technique","202000","5","14","","299"
"Passing The Hat","Robbers &amp; Cowards","Cold War Kids","205000","5","25","","113"
"Perpetual Nights","Moodswings","Maxine Ashley","212000","5","9","","277"
"Perth Girls","Kiss My Apocalypse","Abbe May","196000","5","23","","242"
"Peruvian Cocaine","Stronghold - Mixtape Vol. 2","Immortal Technique, Pumpkinhead, Diabolic, Tonedeff, Poison Pen, Loucipher...","208000","5","11","","305"
"Piss On Ya","Breakfast At Fatboys","Butterfingers","336000","5","14","","218"
"Planes","The Holidays","The Holidays","189000","5","10","","69"
"Point of No Return","Revolutionary, Vol.2 (Parental Advisory)","Immortal Technique","241000","5","15","","310"
"Polka","Draw Attention To Themselves (Wide Release)","Yves Klein Blue","249000","5","64","","239"
"Position Correction","Position Correction","TZU","237000","5","25","","209"
"Positive Balance (feat. BigZoo)","Revolutionary, Vol.1","Immortal Technique","197000","5","16","","313"
"Pressure","Black Magic","Swollen Members","203000","5","28","","76"
"Primo&#39;s Four Course Meal","The Gatalog: A Collection of Chaos","Celph Titled","205000","5","15","","74"
"Progress Program (Mad Child 2013 Mix)","Progress Program","Mad Child","334000","5","9","","65"
"Proving Grounds","Guilty Pleasure","Attila","208000","5","8","","343"
"Puppet Masters (Bonus Track)","The War Within (Deluxe Edition)","Wrekonize","233000","5","14","","199"
"Rainbow Kraut","Tangalooma","The John Steel Singers","274000","5","32","","240"
"Reavelations","Illumanation","Aqualeo","186000","5","18","","46"
"Rebel Arms (feat. Da Circle &amp; J. Arch)","The 3rd World","Immortal Technique","230000","5","14","","302"
"Rebirth Of Slick (Cool Like Dat)","Reachin&#39; (A New Refutation Of Time And Space)","Digable Planets","261000","5","11","","202"
"Reel Wolf: The Underworld (Goon MuSick Remix) [feat. Tech N9ne, Vinnie Paz, Ill Bill, Slaine, Celph Titled, King Gordy, Sid Wilson, PMD, Sean Strange, Apathy, Swifty McVay, Reef The Lost Cauze &amp; Bizarre]","Black Snow 2","Snowgoons","330000","5","8","","85"
"REVOFEV","Man On The Moon II: The Legend Of Mr. Rager","Kid Cudi","183000","5","9","","33"
"Rich Kids - [Middle Cla$$ MIX]","Race You to the Bottom","New Medicine","181000","5","20","","154"
"Round Here (Album Version Explicit)","Tha Blue Carpet Treatment","Snoop Dogg","222000","5","10","","80"
"Say I&#39;m Good","Blue Volume","Joelistics","177000","5","31","","140"
"Scallops","The Herd","The Herd","291000","5","18","","211"
"Scary Stories to Tell in the Dark (feat. Charles Xavier)","The Insane Asylum","Twisted Insane","205000","5","18","","198"
"Scientific Method (remix)","Power Movement Remixes","Tajai","230000","5","17","","14"
"Set It","DIE!","Necro","213000","5","29","","319"
"Sexting Remix (feat. Jeffree Star)","Epic (Deluxe Edition)","Blood On The Dance Floor","222000","5","7","","102"
"Shame (Explicit)","Loud Rocks","System Of A Down &amp; Wu-Tang Clan","160000","5","8","","13"
"She dances wicked","Reborn","AWOL ONE","155000","5","22","","25"
"Shiverman","Dr. Boondigga &amp; The Big BW","Fat Freddys Drop","634000","5","14","","267"
"Shoot Me in the Head","Legends Never Die","R.A. The Rugged Man","234000","5","24","","91"
"Shuggie","We Are The 21st Century Ambassadors Of Peace &amp; Magic","Foxygen","201000","5","13","","292"
"Sick Shit","Badillac","together PANGEA","246000","5","50","","296"
"Signs","Grand Caravan To The Rim Of The World","3 Melancholy Gypsys","238000","5","59","","254"
"Sink or Swim","Infinite","Sweatshop Union","156000","5","33","","70"
"Sleep","Lovetune for Vacuum","Soap&amp;Skin","164000","5","1","","324"
"Sleeping Lessons","Wincing The Night Away","The Shins","238000","5","11","","145"
"Slumlord Trillionaire$ (feat. AWOL ONE)","By Hook or by Crook (Evil Ebenezer &amp; Metty The Dertmerchant)","Sweatshop Union Presents: The Trillionaire$","227000","5","7","","3"
"Snakedog","Snakedog","together PANGEA","169000","5","24","","10"
"Snatch And Grab","Breakfast At Fatboys","Butterfingers","232000","5","21","","221"
"Sober","Too","FIDLAR","146000","5","99","","315"
"So Dope (They Wanna) (feat. Wrekonize, Snow Tha Product, Twisted Insane)","Something Else (All Access Edition)","Tech N9ne","259000","5","19","","175"
"Someone New","Youth Culture Forever","Paws","143000","5","14","","266"
"Sons &amp; Daughters","The Crane Wife","The Decemberists","313000","5","14","","144"
"Spiked Punch","Mursday","¡Mayday!","182000","5","33","","243"
"Spookshow Baby","Hellbilly Deluxe","Rob Zombie","218000","5","20","","224"
"Sticks &#39;N&#39; Stones","Kings &amp; Queens","Jamie T","240000","5","17","","134"
"Still","Pools To Bathe In","The Japanese House","198000","5","7","","352"
"Stitches","Reborn","AWOL ONE","243000","5","17","","24"
"Streetwalking","G&amp;E Music Vol. 1&amp;2","The Grouch &amp; Eligh","164000","5","12","","15"
"Summersong","The Crane Wife","The Decemberists","211000","5","14","","146"
"Sunbathing Animal","Sunbathing Animal + Content Nausea","Parquet Courts","232000","5","25","","268"
"Sunday Morning","Stay Together","Kaiser Chiefs","270000","5","9","","5"
"Super-Charger Heaven (Adults Only Mix Edited)","Supersexy Swingin&#39; Sounds","White Zombie","317000","5","8","","95"
"Surprises (feat. Ryan &quot;Myagi&quot; Evans)","Have a Nice Life","MURS","170000","5","19","","247"
"Symphony of Destruction","Dead Eyes See No Future - EP","Arch Enemy","242000","5","7","","119"
"Tabletops","Mursday (Deluxe Edition)","¡Mayday!","166000","5","27","","195"
"Tango","Invisible Inc.","Invisible Inc.","166000","5","8","","30"
"Tarantula","Seizures","Kisschasy","127000","5","10","","183"
"Tear You Apart (Album Version Explicit)","She Wants Revenge","She Wants Revenge","284000","5","14","","126"
"Tension Head","Rated R","Queens Of The Stone Age","172000","5","12","","332"
"The 4th Branch","Revolutionary, Vol.2 (Parental Advisory)","Immortal Technique","318000","5","15","","312"
"The 4th Branch - Immortal Technique","Wastelands Presents &quot;Guests of Honor&quot;","Immortal Technique","377000","5","9","","311"
"The Beautiful People","Antichrist Superstar","Marilyn Manson","218000","5","15","","346"
